Subject;Start Date;Start Time;End Date;End Time;Description;Location;;;;
Optymalizacja;05.10.2021;15:00:00;05.10.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;06.10.2021;09:45:00;06.10.2021;11:15:00;mgr inż. Mateusz Mojżeszko;B5-404;;;;
Optymalizacja;12.10.2021;15:00:00;12.10.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;13.10.2021;09:45:00;13.10.2021;11:15:00;mgr inż. Mateusz Mojżeszko;B5-404;;;;
Optymalizacja;19.10.2021;15:00:00;19.10.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;20.10.2021;09:45:00;20.10.2021;11:15:00;mgr inż. Mateusz Mojżeszko;B5-404;;;;
Optymalizacja;26.10.2021;15:00:00;26.10.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;27.10.2021;09:45:00;27.10.2021;11:15:00;mgr inż. Mateusz Mojżeszko;B5-404;;;;
Optymalizacja;02.11.2021;15:00:00;02.11.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;03.11.2021;09:45:00;03.11.2021;11:15:00;mgr inż. Mateusz Mojżeszko;B5-404;;;;
Optymalizacja;09.11.2021;15:00:00;09.11.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;10.11.2021;09:45:00;10.11.2021;11:15:00;mgr inż. Mateusz Mojżeszko;B5-404;;;;
Optymalizacja;16.11.2021;15:00:00;16.11.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;17.11.2021;09:45:00;17.11.2021;11:15:00;mgr inż. Mateusz Mojżeszko;B5-404;;;;
Optymalizacja;23.11.2021;15:00:00;23.11.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;24.11.2021;09:45:00;24.11.2021;11:15:00;prof. dr hab. inż. Dmytro Svyetlichnyy;B5-404;;;;
Optymalizacja;30.11.2021;15:00:00;30.11.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;01.12.2021;09:45:00;01.12.2021;11:15:00;prof. dr hab. inż. Dmytro Svyetlichnyy;B5-404;;;;
Optymalizacja;07.12.2021;15:00:00;07.12.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;08.12.2021;09:45:00;08.12.2021;11:15:00;prof. dr hab. inż. Dmytro Svyetlichnyy;B5-404;;;;
Optymalizacja;14.12.2021;15:00:00;14.12.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;15.12.2021;09:45:00;15.12.2021;11:15:00;prof. dr hab. inż. Dmytro Svyetlichnyy;B5-404;;;;
Optymalizacja;21.12.2021;15:00:00;21.12.2021;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Optymalizacja;04.01.2022;15:00:00;04.01.2022;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;05.01.2022;09:45:00;05.01.2022;11:15:00;prof. dr hab. inż. Dmytro Svyetlichnyy;B5-404;;;;
Optymalizacja;11.01.2022;15:00:00;11.01.2022;16:30:00;dr inż. Łukasz Sztangret;B4-101;;;;
Modelowanie dyskretne;12.01.2022;09:45:00;12.01.2022;11:15:00;prof. dr hab. inż. Dmytro Svyetlichnyy;B5-404;;;;
Modelowanie dyskretne;19.01.2022;09:45:00;19.01.2022;11:15:00;prof. dr hab. inż. Dmytro Svyetlichnyy;B5-404;;;;
